STATE:32:cc/cr200c/cc/cr400f:9d3h|Ad9h/9s5c8h/Qh/7d:-200|200:shrimankar.prakshat.1|DeepStack # 1478656638.30559
STATE:33:f:JdAh|5dQh:50|-50:DeepStack|shrimankar.prakshat.1 # 1478656700.01682
STATE:34:f:AcAh|2d5s:50|-50:shrimankar.prakshat.1|DeepStack # 1478656709.16026
STATE:35:r300f:7c4d|Ad3d:-100|100:DeepStack|shrimankar.prakshat.1 # 1478656716.25114
STATE:36:cc/cc/cc/cr500f:5s6c|3h4h/KcTs6s/Qc/7h:-100|100:shrimankar.prakshat.1|DeepStack # 1478656730.22466
STATE:37:f:9cAc|3d2c:50|-50:DeepStack|shrimankar.prakshat.1 # 1478656782.13442
STATE:38:r200r600f:JhJd|Ad2h:200|-200:shrimankar.prakshat.1|DeepStack # 1478656793.77515
STATE:39:r300f:9s5h|As8c:-100|100:DeepStack|shrimankar.prakshat.1 # 1478656818.10734
STATE:40:cc/cr300f:9s2s|2cQh/TcJd3c:-100|100:shrimankar.prakshat.1|DeepStack # 1478656840.5993
STATE:41:f:TdAd|4c6d:50|-50:DeepStack|shrimankar.prakshat.1 # 1478656899.38182
STATE:42:f:Tc3h|3c2d:50|-50:shrimankar.prakshat.1|DeepStack # 1478656912.6419
STATE:43:f:4h3s|5d3h:50|-50:DeepStack|shrimankar.prakshat.1 # 1478656920.00423
STATE:44:cc/r200f:Qd2d|4c6h/7cQcKs:100|-100:shrimankar.prakshat.1|DeepStack # 1478656930.64899
STATE:45:r250c/cr550c/cr1350f:7s8c|4c3d/AhTs8h/2s:-550|550:DeepStack|shrimankar.prakshat.1 # 1478656957.42282
STATE:46:cc/cr200c/cr400f:3dJd|7s8h/Jc7dQc/7h:-200|200:shrimankar.prakshat.1|DeepStack # 1478657020.60263
STATE:47:r200c/cr400c/cc/cr900f:4h7d|TsQh/5s7sQs/Ks/4d:-400|400:DeepStack|shrimankar.prakshat.1 # 1478657082.10127
STATE:48:r300f:6c2h|6d4d:-100|100:shrimankar.prakshat.1|DeepStack # 1478657149.21319
STATE:49:r200r600c/cc/cc/cc:8h8c|4h7h/4sQsTh/6c/9c:600|-600:DeepStack|shrimankar.prakshat.1 # 1478657161.68994
STATE:0:cr300c/r600c/r1300f:9h8h|8cAs/5dKc6c/3h:600|-600:shrimankar.prakshat.1|DeepStack # 1478661247.17222
STATE:0:r300f:7d6h|Ah4h:-100|100:shrimankar.prakshat.1|DeepStack # 1479236252.97897
STATE:1:r200c/cr400f:Qs5s|AhKs/Kc3hKd:-200|200:DeepStack|shrimankar.prakshat.1 # 1479236267.45693
STATE:2:r300c/cr600f:8d6h|9h9c/3cTs3d:-300|300:shrimankar.prakshat.1|DeepStack # 1479236296.28789
STATE:3:r300r900r2250r20000f:KhAh|Ts8d:2250|-2250:DeepStack|shrimankar.prakshat.1 # 1479236325.48072
STATE:4:cc/cc/cr200c/cc:6sQs|5sTh/9s8s7c/Td/6c:0|0:shrimankar.prakshat.1|DeepStack # 1479236370.78582
STATE:5:r300c/cc/cr750c/cr1650c:Ac4d|Jd2d/6sThJc/4s/8c:-1650|1650:DeepStack|shrimankar.prakshat.1 # 1479236435.68426
STATE:6:r200c/cc/cc/r490c:9h2h|5s5c/9s7sQc/2d/7c:490|-490:shrimankar.prakshat.1|DeepStack # 1479236530.63731
