STATE:63:r250r750f:6c9c|Kd7h:250|-250:DeepStack|shaposhnikov.roman.1 # 1480708560.96803
STATE:64:cc/cc/cc/cr200f:2s3d|3s6c/8d7cKd/Tc/9c:-100|100:shaposhnikov.roman.1|DeepStack # 1480708583.50156
STATE:65:r200c/cc/r400r600c/cc:8sQh|Ah6s/As8cKd/Kh/3d:-600|600:DeepStack|shaposhnikov.roman.1 # 1480708631.45179
STATE:66:cr250c/r500c/r700f:QhAc|Qd2s/TdKd3h/7h:500|-500:shaposhnikov.roman.1|DeepStack # 1480708690.90308
STATE:67:cc/cr200c/cc/cc:Kh4c|4d8h/4s7d9h/5d/3h:200|-200:DeepStack|shaposhnikov.roman.1 # 1480708751.64609
STATE:68:cc/cr200c/cc/cc:9hJc|6h7d/Td6s7s/Qs/Th:-200|200:shaposhnikov.roman.1|DeepStack # 1480708812.99267
STATE:69:r200c/cc/cc/cc:8d7h|3hJh/9s5d7s/Th/2h:200|-200:DeepStack|shaposhnikov.roman.1 # 1480708867.05767
STATE:70:cr200c/r400r1200f:Ac8c|Ah4h/9cQh4s:-400|400:shaposhnikov.roman.1|DeepStack # 1480708918.493
STATE:71:r200r600f:JsJd|8cKs:200|-200:DeepStack|shaposhnikov.roman.1 # 1480708961.08996
STATE:72:r200f:4d9c|QhTd:-100|100:shaposhnikov.roman.1|DeepStack # 1480708983.56068
STATE:73:r250c/r750f:6dKh|8cJd/7d3d4h:250|-250:DeepStack|shaposhnikov.roman.1 # 1480708995.86236
STATE:74:r300f:Qs7c|4c4s:-100|100:shaposhnikov.roman.1|DeepStack # 1480709024.80632
STATE:75:r250c/cc/r750f:2d4d|Ah5h/Td2h9d/Qd:250|-250:DeepStack|shaposhnikov.roman.1 # 1480709038.29951
STATE:76:r300f:9h5d|QcKs:-100|100:shaposhnikov.roman.1|DeepStack # 1480709082.05625
STATE:77:r200c/cr400c/cc/cc:3hJh|Qc2c/KhQdJc/Jd/Ts:400|-400:DeepStack|shaposhnikov.roman.1 # 1480709094.76245
STATE:78:r300f:2d6s|JsTs:-100|100:shaposhnikov.roman.1|DeepStack # 1480709150.83572
STATE:79:cc/cr200c/cc/r400c:7dQh|AsAh/6d8d5s/5d/Jh:-400|400:DeepStack|shaposhnikov.roman.1 # 1480709163.54497
STATE:80:cc/cc/r200r400f:6dKc|8h4d/6cTh4s/Jd:-200|200:shaposhnikov.roman.1|DeepStack # 1480709214.05247
STATE:81:cc/cc/cr200f:4c2d|4s9s/3hThKd/9h:-100|100:DeepStack|shaposhnikov.roman.1 # 1480709262.7783
STATE:82:r300r750c/r1875r3750f:Qh6h|Kh8s/9s5d7s:-1875|1875:shaposhnikov.roman.1|DeepStack # 1480709300.13338
STATE:83:r200r600c/cr1200f:Ac7c|5d8d/Jh3s8h:-600|600:DeepStack|shaposhnikov.roman.1 # 1480709348.99925
STATE:84:r200c/cc/cc/cc:2dKd|5c7d/Ts5dQh/4s/8s:-200|200:shaposhnikov.roman.1|DeepStack # 1480709390.58531
STATE:85:cr300c/cc/cc/cr600c:7sAh|8sTc/2d5d9h/3c/8c:-600|600:DeepStack|shaposhnikov.roman.1 # 1480709440.00851
STATE:86:r300c/cc/cr600r1500f:Kc2c|Td8c/Kd5d6s/Qh:600|-600:shaposhnikov.roman.1|DeepStack # 1480709501.29234
STATE:87:f:Ts3c|2hQc:50|-50:DeepStack|shaposhnikov.roman.1 # 1480709548.93634
STATE:88:r300f:3sJc|9h2h:-100|100:shaposhnikov.roman.1|DeepStack # 1480709558.82706
STATE:89:cc/cr200c/cc/r400c:Jc8h|Th7d/9h3h3d/Tc/Ks:-400|400:DeepStack|shaposhnikov.roman.1 # 1480709569.8496
STATE:90:cc/cr300f:6c2h|AsTh/3sQhTd:-100|100:shaposhnikov.roman.1|DeepStack # 1480709619.51336
STATE:91:r250c/cc/cc/cr500r20000f:5dQh|KcTc/Jc6s8h/4c/6c:500|-500:DeepStack|shaposhnikov.roman.1 # 1480709645.74067
STATE:92:cc/cc/cr200f:4d3c|7cJc/6h8dKh/Tc:-100|100:shaposhnikov.roman.1|DeepStack # 1480709887.40993
STATE:93:r200r600c/r1200c/cr3000c/cr7500f:AdKh|3s4s/Kc4c5h/6d/Qs:-3000|3000:DeepStack|shaposhnikov.roman.1 # 1480709929.56397
STATE:94:r200c/cc/cc/r400f:9dJc|8hTd/AdJhAc/Kd/6c:200|-200:shaposhnikov.roman.1|DeepStack # 1480710002.93417
STATE:95:r200c/cr400c/cr800c/cc:6sKc|9sAc/KhAd6h/4s/7s:800|-800:DeepStack|shaposhnikov.roman.1 # 1480710047.29458
STATE:96:r300c/cc/cc/cc:Kh9d|2h5h/5dTcJd/Kd/6d:300|-300:shaposhnikov.roman.1|DeepStack # 1480710105.4633
STATE:97:f:3c9d|8h2c:50|-50:DeepStack|shaposhnikov.roman.1 # 1480710162.82091
STATE:98:r300r750c/r1875f:JdTd|7hAc/2d8s3h:750|-750:shaposhnikov.roman.1|DeepStack # 1480710173.69734
STATE:99:r200r600c/r1200f:6s8s|KdQc/2s7cTc:600|-600:DeepStack|shaposhnikov.roman.1 # 1480710204.43114
STATE:100:cc/cc/cc/cc:Qs8h|Th4s/Kc6c7c/2d/Jd:100|-100:shaposhnikov.roman.1|DeepStack # 1480710242.08405
STATE:101:r200c/cc/cr400f:8c2c|JhTc/5sAs9s/7c:-200|200:DeepStack|shaposhnikov.roman.1 # 1480710286.62523
STATE:102:r300f:9d4d|5cJd:-100|100:shaposhnikov.roman.1|DeepStack # 1480710325.03557
STATE:103:cc/cc/cc/cr200c:Jh6s|3s4s/KdAhAc/8h/6h:200|-200:DeepStack|shaposhnikov.roman.1 # 1480710335.9074
STATE:104:r300c/cr600f:Ad7c|5d2d/2cKh3h:-300|300:shaposhnikov.roman.1|DeepStack # 1480710381.70707
STATE:105:r200r600c/r1200c/r2400r6000c/cr15000c:JhAd|8cJc/Js7s6c/Kc/Ac:-15000|15000:DeepStack|shaposhnikov.roman.1 # 1480710415.73874
STATE:106:cc/cc/r200f:Qh8d|4h7c/TdJdTc/Qc:100|-100:shaposhnikov.roman.1|DeepStack # 1480710493.19495
STATE:107:cr300c/r600c/cc/cc:Th7h|Js9h/2h3hKh/3c/Qh:600|-600:DeepStack|shaposhnikov.roman.1 # 1480710533.26931
STATE:108:cc/cc/r200c/r400c:Th9d|QcJh/AsAh7c/Ks/Kc:-400|400:shaposhnikov.roman.1|DeepStack # 1480710585.25877
STATE:109:r200c/cc/cr400f:2c5c|As9s/Ad7dKc/Th:-200|200:DeepStack|shaposhnikov.roman.1 # 1480710638.23698
STATE:110:r300f:4c5d|7sAc:-100|100:shaposhnikov.roman.1|DeepStack # 1480710678.16521
STATE:111:cc/cc/cc/r200c:2s7d|6d5c/Ac8c9c/Qc/5h:-200|200:DeepStack|shaposhnikov.roman.1 # 1480710693.58532
STATE:112:r200f:Tc4s|Kd3s:-100|100:shaposhnikov.roman.1|DeepStack # 1480710732.50692
STATE:113:r250c/cc/cr500c/cc:Qc9h|As7s/Jd3d6h/Jc/Th:-500|500:DeepStack|shaposhnikov.roman.1 # 1480710745.56344
STATE:114:r200r600c/r1200c/cc/r1600c:AhQc|5s9s/Kd5c6s/3h/Ks:-1600|1600:shaposhnikov.roman.1|DeepStack # 1480710802.93563
STATE:115:cc/cr250r750f:3sQh|Jd8h/9hJcKs:250|-250:DeepStack|shaposhnikov.roman.1 # 1480710877.93775
STATE:116:r200f:3cQh|8cAh:-100|100:shaposhnikov.roman.1|DeepStack # 1480710916.28457
STATE:117:r200c/cr400f:Ah3s|8cJs/9c7c2c:-200|200:DeepStack|shaposhnikov.roman.1 # 1480710927.66968
STATE:118:cc/cc/cr300c/cr1500c:TsAh|3sJc/4dTh8c/Jh/Jd:-1500|1500:shaposhnikov.roman.1|DeepStack # 1480710953.30534
STATE:119:cr300c/cc/r900f:7d8h|8s2s/KsKcQd/6d:300|-300:DeepStack|shaposhnikov.roman.1 # 1480711024.12556
STATE:120:cr250c/cr500c/cr1500f:AsQc|8h9d/7c2c8s/2h:-500|500:shaposhnikov.roman.1|DeepStack # 1480711062.24736
STATE:121:cr300f:Jc4c|3s6c:100|-100:DeepStack|shaposhnikov.roman.1 # 1480711121.23607
STATE:122:cc/cr300r900f:8hAs|4d9h/8s5s6d:300|-300:shaposhnikov.roman.1|DeepStack # 1480711139.28361
STATE:123:cr300f:Jh9c|3sQc:100|-100:DeepStack|shaposhnikov.roman.1 # 1480711174.70724
STATE:124:f:2h5c|3d9h:50|-50:shaposhnikov.roman.1|DeepStack # 1480711199.16472
STATE:125:r200r600r1500f:6d9d|7d8d:-600|600:DeepStack|shaposhnikov.roman.1 # 1480711206.35863
STATE:126:cc/cr300f:5dAc|Kc2h/9cKdJs:-100|100:shaposhnikov.roman.1|DeepStack # 1480711235.12838
STATE:127:r200r600c/cc/cc/cc:QcAh|TsQs/Kd5d9s/6d/8s:600|-600:DeepStack|shaposhnikov.roman.1 # 1480711259.0315
STATE:128:cc/cc/r200c/cr600c:As7s|6c3d/6s6dQd/Kd/Qs:-600|600:shaposhnikov.roman.1|DeepStack # 1480711308.16425
STATE:129:cc/cr200c/cr400f:Qs3c|3s6d/4dAh5d/Ac:-200|200:DeepStack|shaposhnikov.roman.1 # 1480711367.78057
STATE:130:cc/cc/cc/cc:7c8s|Js6s/Ad2dQh/6d/Qd:-100|100:shaposhnikov.roman.1|DeepStack # 1480711418.46828
STATE:131:r250c/cc/cr500f:Ac5d|6hKc/8sQsQd/6d:-250|250:DeepStack|shaposhnikov.roman.1 # 1480711464.91551
STATE:132:f:7c4s|2d3s:50|-50:shaposhnikov.roman.1|DeepStack # 1480711503.93075
STATE:133:f:Kh5d|Jh2s:50|-50:DeepStack|shaposhnikov.roman.1 # 1480711511.01744
STATE:134:r300f:7s3c|QdAd:-100|100:shaposhnikov.roman.1|DeepStack # 1480713614.88104
STATE:135:r200c/cr500f:Qc2h|QsQd/Jc7s9h:-200|200:DeepStack|shaposhnikov.roman.1 # 1480713631.89063
STATE:136:cc/cc/r200f:Jd5d|KsTh/6c8hQs/4s:100|-100:shaposhnikov.roman.1|DeepStack # 1480713659.28042
STATE:137:f:6dKd|3c2d:50|-50:DeepStack|shaposhnikov.roman.1 # 1480713700.86753
STATE:138:r300f:9h6s|AhTs:-100|100:shaposhnikov.roman.1|DeepStack # 1480713714.87256
STATE:139:r200c/cc/cc/cr500f:Ac2h|6s7d/9hQs9d/8s/4s:-200|200:DeepStack|shaposhnikov.roman.1 # 1480713733.32867
STATE:140:f:Jd7d|9h3c:50|-50:shaposhnikov.roman.1|DeepStack # 1480713792.99744
