STATE:111:r300c/cr650r1300c/cc/cr3100f:Ad3c|QhQs/Kd2s5h/Jd/Qc:-1300|1300:DeepStack|islam.jefri.1 # 1479524445.72266
STATE:112:cr500f:Ac8h|4d9s:100|-100:islam.jefri.1|DeepStack # 1479524505.26569
STATE:113:r300f:4d5c|JdAh:-100|100:DeepStack|islam.jefri.1 # 1479524521.89874
STATE:114:r200c/cr400f:5hTh|Ah6s/Kd2sJc:-200|200:islam.jefri.1|DeepStack # 1479524538.16847
STATE:115:r300r900c/cr2000c/cr5200c/r10400r20000c:9c9h|2d5h/Jc7d7c/Tc/8c:20000|-20000:DeepStack|islam.jefri.1 # 1479524568.45439
STATE:116:r200r855c/cc/cc/r1310c:KhQd|8dJd/Qs8hTd/Jh/As:1310|-1310:islam.jefri.1|DeepStack # 1479524737.59099
STATE:117:r300c/cc/r900f:JhTc|QsJd/6d7s5h/9h:300|-300:DeepStack|islam.jefri.1 # 1479524799.34741
STATE:118:f:As4s|2h5d:50|-50:islam.jefri.1|DeepStack # 1479524834.8975
STATE:119:r300f:Kh2s|QdAh:-100|100:DeepStack|islam.jefri.1 # 1479524842.31129
STATE:120:r200c/cr400f:3cQh|JcJh/5d4dAd:-200|200:islam.jefri.1|DeepStack # 1479524864.37748
STATE:121:f:4hJc|9c2s:50|-50:DeepStack|islam.jefri.1 # 1479524897.11494
STATE:122:r300r1125f:4h3h|8d3d:300|-300:islam.jefri.1|DeepStack # 1479524907.04442
STATE:123:r300f:2hJs|AcQc:-100|100:DeepStack|islam.jefri.1 # 1479524931.38959
STATE:124:cr500c/cc/cc/cc:7d8d|8h5h/3dQs8c/Th/9d:0|0:islam.jefri.1|DeepStack # 1479524949.9264
STATE:125:r300c/cc/cc/r900r2700c:9sKh|9hAs/6sTs7h/5d/8h:0|0:DeepStack|islam.jefri.1 # 1479525003.94415
STATE:126:cr500f:5h5s|2hJc:100|-100:islam.jefri.1|DeepStack # 1479525059.26072
STATE:127:r300r900c/cc/r1800f:KsAh|2h4h/9s6sTs/5s:900|-900:DeepStack|islam.jefri.1 # 1479525078.2269
STATE:128:cc/cc/cr200f:3c2s|6s4d/7s8h8c/5s:-100|100:islam.jefri.1|DeepStack # 1479525121.35711
STATE:129:r300r900c/cc/cc/cc:Qh9h|6d3h/4h4dKs/2d/Ac:900|-900:DeepStack|islam.jefri.1 # 1479525160.21977
STATE:130:r200r1000f:JhKd|Tc2c:200|-200:islam.jefri.1|DeepStack # 1479525222.3429
STATE:131:r300f:7d3h|9s9h:-100|100:DeepStack|islam.jefri.1 # 1479525247.62115
STATE:132:cc/cr200f:3c7c|2hQc/6d9s2s:-100|100:islam.jefri.1|DeepStack # 1479525263.44585
