In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
142:Player,BR:0cr600c/r1400r2989f:8cTs,5hJc|/9dJhKh:-2100,2100(-2100.000000)
143:BR,Player:0r130c/r2014f:QcKh,8dQh|/3c9dJh:230,-230(230.000000)
144:Player,BR:0cc/cr435f:3dTs,6s9c|/4s8sKc:-100,100(-100.000000)
145:BR,Player:0r200c/r19700f:TsTh,4s6h|/3s7dTd:300,-300(300.000000)
146:Player,BR:0cr300c/cr1741f:9sKd,8hJh|/8c9hQd:-400,400(-400.000000)
147:BR,Player:0r200c/r4595f:2sTh,5d6h|/2dTcQc:300,-300(300.000000)
148:Player,BR:0cc/cr1761f:8hKs,6s8c|/2c7c9d:-100,100(-100.000000)
149:BR,Player:0f:5cAd,2h8d|:50,-50(50.000000)
150:Player,BR:0cr300c/cr16295f:8cQs,4s5s|/4h5c8d:-400,400(-400.000000)
151:BR,Player:0r200c/r1136r2164c/cc/cc:TdQc,4sJc|/4h7sQh/Kc/3d:3600,-3600(3085.428254)
152:Player,BR:0cc/cr216f:7cQs,AhAc|/3h5s5h:-100,100(-100.000000)
153:BR,Player:0r200c/r1136c/cc/cr2164c:2d6c,7cQh|/2s2cQc/2h/7h:3600,-3600(3600.000000)
154:Player,BR:0cr600c/r4200f:KdAd,4dTh|/4c7hKs:700,-700(700.000000)
155:BR,Player:0cc/cc/cr130c/cc:7hKs,6h7s|/2sTcJc/9s/5s:230,-230(-22.684896)
156:Player,BR:0cc/cr876f:2c3h,9cQs|/3c6c7s:-100,100(-100.000000)
157:BR,Player:0r200c/r1306f:2dTs,9sQh|/2h5c6c:300,-300(300.000000)
158:Player,BR:0cc/cr3080f:5dJd,2d5s|/2sJcKd:-100,100(-100.000000)
159:BR,Player:0r130c/r19770f:TcKs,QsQc|/7cTdKd:230,-230(230.000000)
160:Player,BR:0cr600c/cr3047f:8sQs,2sTh|/JdQcAc:-700,700(-700.000000)
161:BR,Player:0r130c/r573f:5cTc,6s7s|/8sJdQc:230,-230(230.000000)
162:Player,BR:0cc/cr435c/cc/cc:3s5d,2s8c|/4d9sAh/7c/3c:535,-535(535.000000)
163:BR,Player:0r200c/r244f:4d4c,7hKh|/6s6dQd:300,-300(300.000000)
164:Player,BR:0cr130c/cr4051f:9hAc,8cQc|/2c3sKd:-230,230(-230.000000)
165:BR,Player:0r130c/r1001f:3h7c,KcAd|/6s8hTd:230,-230(230.000000)
166:Player,BR:0cr200c/cr2627c/cc/r1753f:JsKc,2h5h|/9sTsAd/Kh/6h:2927,-2927(2927.000000)
167:BR,Player:0r130c/r1001f:2h7d,JsAd|/5h5dQd:230,-230(230.000000)
