In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 5.
103:BR,Player:0r130c/cr299c/r1058f:3sQd,3dTh|/2s9cQh/8h:529,-529(529.000000)
104:Player,BR:0cc/cc/r130r19770f:4h9s,4c5d|/3d6dAh/7c:-230,230(-230.000000)
105:BR,Player:0r200c/cc/r19700c/cc:QhKc,5h5c|/3h9sAc/5d/Th:-20000,20000(-20000.000000)
106:Player,BR:0cc/cc/cr200f:2hQs,3hKh|/3d8sJh/2s:-100,100(-100.000000)
107:BR,Player:0r300c/cr520c/cc/r19080f:4s7h,5sQc|/4h5hKc/9c/Qd:920,-920(920.000000)
108:Player,BR:0cr300c/r520c/r1196f:2dQd,7hKc|/3c5cJd/Ah:920,-920(920.000000)
109:BR,Player:0cc/cc/cr130f:2cKc,5d9c|/9dJdAh/9s:-100,100(-100.000000)
110:Player,BR:0cc/cc/r200r600f:4h8s,6d9s|/3cTdKd/3h:-300,300(-300.000000)
111:BR,Player:0f:9hAs,3c7s|:50,-50(50.000000)
112:Player,BR:0cr130c/cc/cr460c/cr19310f:3sAs,6d7d|/4d7h9c/5d/Kh:-690,690(-690.000000)
113:BR,Player:0r130c/cc/r19770f:4c7s,8hQc|/5s5hJh/Qd:230,-230(230.000000)
114:Player,BR:0cc/cc/cr200f:4cKs,4s5d|/6h7c8c/2s:-100,100(-100.000000)
115:BR,Player:0r130c/cr299c/cr1058f:2dKc,2cAc|/4d5cQh/8h:-529,529(-529.000000)
116:Player,BR:0cc/cc/cc/cr200f:2h6d,5dJs|/7sThKh/3s/9c:-100,100(-100.000000)
117:BR,Player:0r130c/cc/r460c/r19310f:4hJc,3sAd|/8cJsQs/3c/2h:690,-690(690.000000)
118:Player,BR:0cr600c/cc/r140r19160c/cc:4h7h,4dKh|/2h3s6h/3h/Jd:20000,-20000(20000.000000)
119:BR,Player:0r130c/cc/cr299r1058c/r3174f:2sKs,8cKc|/6cThAh/Qc/4s:1587,-1587(1587.000000)
120:Player,BR:0cc/cc/cr200c/cr19700f:2sQd,6h9s|/4d8dQh/4c/Kd:-300,300(-300.000000)
121:BR,Player:0r130c/cc/cr460r19310f:9sKs,JsQd|/2h3h4h/6c:690,-690(690.000000)
122:Player,BR:0cr300c/cc/r200r1200f:2s5s,2cJc|/6d8d8c/9h:-600,600(-600.000000)
123:BR,Player:0r300c/cc/cr800r2400f:5sQd,5d7d|/6sJhAh/2s:1200,-1200(1200.000000)
124:Player,BR:0cc/cc/cr200f:2dKd,5s8h|/6s6dQc/9c:-100,100(-100.000000)
125:BR,Player:0r130c/cr299c/r19471f:9dQs,3sQc|/2sTdAs/2d:529,-529(529.000000)
126:Player,BR:0cc/cc/cr200f:4s8c,4h7d|/2hTsKd/5c:-100,100(-100.000000)
127:BR,Player:0r130c/cc/cc/cc:2d3s,4dAc|/7h8hJd/3h/8d:230,-230(134.365711)
128:Player,BR:0cc/cc/cr19900f:3s7c,KhAh|/2s3h4h/2h:-100,100(-100.000000)
129:BR,Player:0r200c/cr390c/cc/r19310f:3hQh,5cTc|/2dJdKh/Ad/8s:690,-690(690.000000)
130:Player,BR:0cc/cc/cr200c/cr600c:JhQd,5dKc|/KdAsAc/3d/Jc:-900,900(-480.981702)
131:BR,Player:0cc/cr130c/r460c/r1380f:2sTh,7h8d|/2cTcQs/9s/2d:690,-690(690.000000)
132:Player,BR:0cc/cc/cc/cr19900f:4c5h,3s6c|/6h7hKc/Jh/Ac:-100,100(-100.000000)
133:BR,Player:0f:8hQd,2sTh|:50,-50(50.000000)
134:Player,BR:0cr300c/cc/r520c/cr1840c:KsKc,2d3s|/3d5d6s/Jd/Td:-2760,2760(-2102.629340)
135:BR,Player:0r130c/cr299c/cr687c/cc:JdAs,7cQh|/2d5s9h/6d/Qs:-1216,1216(-977.667679)
136:Player,BR:0cc/cc/r200c/r900r2400r7200f:3h6c,7dJh|/3s3d8h/6s/2s:3600,-3600(3600.000000)
137:BR,Player:0cc/cc/cr130r19770f:2hKs,9hAs|/4d5sJd/Jh:230,-230(230.000000)
138:Player,BR:0cc/cc/r300c/cc:9dTs,TdJs|/3d5d8s/Qc/2d:-400,400(-124.059340)
