In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
100:BR,Player:0r200c/cc/cc/cc:3cAs,7dAd|/5s6cKh/9d/6s:0,-0(-94.242740)
101:Player,BR:0cc/cc/r130c/r690f:2hQc,5cKd|/2s2c6d/As/8c:230,-230(230.000000)
102:BR,Player:0r300c/cc/cc/cr1200c:5dKc,6c8h|/4d9dJh/9c/5h:1600,-1600(1600.000000)
103:Player,BR:0cc/cc/cc/r130c:4cAs,3dQs|/2d9dAc/3c/3s:-230,230(-217.012089)
104:BR,Player:0cc/cc/cr130f:2c8s,9sAd|/4s7hKd/Ah:-100,100(-100.000000)
105:Player,BR:0cr130c/r690f:ThQd,3s8c|/2cJdAd:230,-230(230.000000)
106:BR,Player:0r130c/cc/cr299c/cr1587c:2c6h,7cTc|/4h8hJh/2d/4c:2116,-2116(-152.669461)
107:Player,BR:0cc/cc/cc/cc:5h9d,ThAc|/8sTcKc/4h/2d:-100,100(-85.713694)
108:BR,Player:0r200c/cc/cr150f:2sTs,JdAd|/4s6h7c/4h:-300,300(-300.000000)
109:Player,BR:0cc/cc/cc/cc:3c4s,6s7h|/4d6dAh/5d/Jc:-100,100(-67.545252)
110:BR,Player:0r200c/cr900c/cr3600f:5cQh,6s9h|/7s8sQc/5h:-1200,1200(-1200.000000)
111:Player,BR:0cc/cc/cc/cc:2s4c,2dKc|/9dQsAc/6h/As:-100,100(-37.238533)
112:BR,Player:0r200c/cr390c/cr345f:9sQd,4s4c|/4h5s6c/3c:-690,690(-690.000000)
113:Player,BR:0cr600f:9cQd,4sTc|:100,-100(100.000000)
114:BR,Player:0r200c/cr390c/cc/cc:4d9c,5s9s|/4c8cQh/2s/4h:690,-690(690.000000)
115:Player,BR:0cr200c/r390f:QhKh,4h7d|/6cTdJd:300,-300(300.000000)
116:BR,Player:0cc/cc/cc/cr130f:6cTd,3h5c|/4s9sKc/5h/4c:-100,100(-100.000000)
117:Player,BR:0cr300f:JcAh,3s5d|:100,-100(100.000000)
118:BR,Player:0r130c/cr299c/cr687c/cc:4sJd,6s6c|/5sQdAs/3s/2c:1216,-1216(1216.000000)
119:Player,BR:0cc/cc/cc/cc:3dKc,9dTc|/JcQsAs/6s/4s:100,-100(68.260921)
120:BR,Player:0r200c/cr390c/cc/cc:5sTc,8hAh|/4h5c8c/9c/Js:-690,690(-295.331694)
121:Player,BR:0cc/cc/cc/cc:9dTh,4c5c|/6d9hAs/Kh/Tc:100,-100(90.363962)
122:BR,Player:0r130c/cc/cr115c/cr448f:5d9c,7sJc|/2d8hAd/4s/7h:-345,345(-345.000000)
123:Player,BR:0cc/cc/cc/cc:3hTc,6cKc|/7cJdQd/Ts/Kh:-100,100(-61.066530)
124:BR,Player:0r130c/cc/cc/cr299c:3cKc,3s5h|/8d9cQc/6d/8c:529,-529(498.175157)
125:Player,BR:0cc/cc/cc/cc:2c4s,2d8c|/4dJcAd/Qc/As:100,-100(58.286567)
126:BR,Player:0r130c/cc/cr115c/cc:2dTc,5s5d|/6hJdAs/Ah/Kd:-345,345(-307.354863)
