In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
163:BR,Player:0cc/r124c/cr236c/cc:QsAs,5sQc|/2s4d4c/8s/Jc:460,-460(-122.590263)
164:Player,BR:0cr300c/cr3503f:5d5c,3sJh|/2h2c4d:-400,400(-400.000000)
165:BR,Player:0r200c/r427c/cr353c/cr1404c:5sKc,8cKd|/6s8s8d/6h/Ks:-2484,2484(1679.087638)
166:Player,BR:0cr300c/cr1741f:6dKd,3sKs|/3h7sAh:-400,400(-400.000000)
167:BR,Player:0r130c/r2014f:JcQc,5s8c|/2s3c7c:230,-230(230.000000)
168:Player,BR:0cc/cr876c/r584c/r780c:9hJc,3h8c|/4s8dTc/2s/6d:-2340,2340(-774.384027)
169:BR,Player:0r130c/r142c/cc/cr421f:7s7h,6dTs|/2h9cTh/4h/Ad:-372,372(-372.000000)
170:Player,BR:0cr600c/cr3047c/cc/cc:QsKs,2cJc|/5d8sQd/2s/9d:3747,-3747(3747.000000)
171:BR,Player:0r200c/r2627r6043f:4h9c,8sKs|/5s6s8d:-2927,2927(-2927.000000)
172:Player,BR:0cr200c/cr371c/r100c/cc:5d9c,6h8h|/5s8sJc/2c/3s:-771,771(-173.880092)
173:BR,Player:0cc/r435f:4d9d,7dAh|/2c5sKd:100,-100(100.000000)
174:Player,BR:0cr300c/cr3503f:QsQh,5sAc|/7s9sKh:-400,400(-400.000000)
175:BR,Player:0r200c/r2627f:5dQd,8dKd|/4sTcAc:300,-300(300.000000)
176:Player,BR:0cc/cr435f:9sTc,3cTd|/6s9dJh:-100,100(-100.000000)
177:BR,Player:0r200c/r2627f:4hAh,5s9h|/7c9dQd:300,-300(300.000000)
178:Player,BR:0cc/cr1761f:4hAd,4d4c|/5h7sJh:-100,100(-100.000000)
179:BR,Player:0r130c/r1001f:7hQs,4s4d|/TsJcKh:230,-230(230.000000)
180:Player,BR:0cc/cr876f:6sTc,4cAs|/4s7h8h:-100,100(-100.000000)
181:BR,Player:0f:4sJc,3hTd|:50,-50(50.000000)
182:Player,BR:0cc/cr3080f:6sQs,3hKh|/5s9dTs:-100,100(-100.000000)
183:BR,Player:0f:TcAh,3h9c|:50,-50(50.000000)
184:Player,BR:0cc/cr876f:4s6h,2cTc|/6d7h9s:-100,100(-100.000000)
185:BR,Player:0r200c/r1306c/cr914c/cr5040f:3dTd,4d5c|/5s5d9h/Th/8h:-2520,2520(-2520.000000)
186:Player,BR:0cc/cr1532f:2sTc,KdAh|/5dTsAc:-100,100(-100.000000)
187:BR,Player:0r200c/r371f:8cTc,5d9h|/8dJdJc:300,-300(300.000000)
188:Player,BR:0cr130c/cr4051f:2d2c,9sQd|/4h8sTc:-230,230(-230.000000)
189:BR,Player:0r130c/r1001c/cr1184f:6c9d,5s7s|/2c3dAh/7c:-1231,1231(-1231.000000)
190:Player,BR:0cr300c/cr1741f:9sJs,2d9h|/6c7h9c:-400,400(-400.000000)
191:BR,Player:0r130c/cr299r4632f:4s7h,5h7c|/3d8sTh:529,-529(529.000000)
192:Player,BR:0cc/cr19900f:3cKs,2d3d|/4s5hAh:-100,100(-100.000000)
193:BR,Player:0r130c/r2014f:3sJd,5c6h|/2cJsKs:230,-230(230.000000)
194:Player,BR:0cr200c/cr19700f:7h8d,QhQd|/TdJdQc:-300,300(-300.000000)
195:BR,Player:0cc/r142c/cc/cc:2s7d,3hKs|/4cKhAc/Qh/7c:-242,242(-103.881912)
196:Player,BR:0cr300c/r520r4005f:9hTs,2s6c|/4d5d8s:-920,920(-920.000000)
197:BR,Player:0r200c/cr390r6042f:9sAd,7cJd|/3d6hQh:690,-690(690.000000)
198:Player,BR:0cc/cr435f:2hJs,JdAs|/4d7dQs:-100,100(-100.000000)
199:BR,Player:0f:2h4h,2d8c|:50,-50(50.000000)
200:Player,BR:0cr130c/cr2014f:5h5d,6d8c|/4s9sAh:-230,230(-230.000000)
201:BR,Player:0r130c/r163r987r1964c/cc/cc:7dAs,QhQc|/3d4hJc/Ks/Th:-3344,3344(-3344.000000)
202:Player,BR:0cc/cr435f:3cQs,TdQd|/4c6hAs:-100,100(-100.000000)
203:BR,Player:0r130c/r2014f:ThAc,4sAs|/3s6h8d:230,-230(230.000000)
204:Player,BR:0cr600c/cr214c/cc/r2236f:7hAc,5s8d|/2h2dAd/Td/Ts:914,-914(914.000000)
205:BR,Player:0r130c/r3522c/cc/cr8208f:QsQc,2h8h|/2s2d8s/5c/3c:-3752,3752(-3752.000000)
206:Player,BR:0cr300c/cr1741f:9cKd,8dAd|/4d5h7s:-400,400(-400.000000)
207:BR,Player:0r130c/r2014f:3c4d,4h9h|/9sJsQd:230,-230(230.000000)
208:Player,BR:0cc/cr100c/cc/r100c:6c7s,TdKh|/7d9s9h/Ts/5h:-300,300(-271.640663)
209:BR,Player:0r130c/r1001c/cc/cr5209f:4d7h,AhAd|/2d5dTs/6h/5h:-1231,1231(-1231.000000)
210:Player,BR:0cr600c/cr214c/r346f:ThAc,5dKh|/JhAsAd/8c:914,-914(914.000000)
211:BR,Player:0cc/r3080f:2cJs,QhAh|/TcKcAd:100,-100(100.000000)
212:Player,BR:0cr130c/cr1001c/cc/r1184f:4cQc,3dTd|/7hJdQd/2h/6h:1231,-1231(1231.000000)
213:BR,Player:0r130c/r2014f:3sAc,7c8c|/2d4d8h:230,-230(230.000000)
214:Player,BR:0cc/cr876f:4dTs,7d9c|/2c5c6h:-100,100(-100.000000)
215:BR,Player:0r130c/r2014f:4d8h,4h6c|/9cThJh:230,-230(230.000000)
216:Player,BR:0cc/cr876c/r974f:8sQc,3d4s|/8cTsQh/As:976,-976(976.000000)
217:BR,Player:0r200c/r1306f:5sKs,JsAd|/4h8hJh:300,-300(300.000000)
218:Player,BR:0cr130c/cc/cc/r299f:TsJc,2h3s|/8hJsKs/Jd/Kh:230,-230(230.000000)
219:BR,Player:0r130c/r2014f:6c9s,4hAs|/3s4sQh:230,-230(230.000000)
220:Player,BR:0cr130c/cr2014f:4s4c,2d6d|/8hTsKh:-230,230(-230.000000)
221:BR,Player:0r200c/r1306c/cc/cr1544c:2c8s,7dAd|/2h6hAs/Js/9c:-3150,3150(-1406.376179)
222:Player,BR:0cc/cr3080f:2h8h,3s3c|/4dJhKs:-100,100(-100.000000)
223:BR,Player:0r130c/r871f:QdAh,5h9h|/8s9sAd:230,-230(230.000000)
224:Player,BR:0cr600c/cr3047f:7s9s,8dTh|/5c9dKc:-700,700(-700.000000)
225:BR,Player:0r200c/r1306f:4cQd,5c9s|/2s7dAc:300,-300(300.000000)
226:Player,BR:0cc/cr435f:2h3h,QhKc|/3c5s9h:-100,100(-100.000000)
227:BR,Player:0cc/r124r376r5254f:9cKh,8sQs|/4h9sTs:600,-600(600.000000)
228:Player,BR:0cc/cr876f:ThQd,2c4d|/8s8cKc:-100,100(-100.000000)
229:BR,Player:0cc/cc/cc/cc:7dKs,7hAd|/2h8dJs/3s/6c:-100,100(-60.154926)
230:Player,BR:0cc/cr876f:JhKs,5h7d|/5c6cQc:-100,100(-100.000000)
231:BR,Player:0r200c/r2627f:5c6s,3c6c|/2dQsAs:300,-300(300.000000)
232:Player,BR:0cc/cr19900f:3sQs,QcAh|/TcJcKd:-100,100(-100.000000)
233:BR,Player:0r130c/r1751f:3s6d,2h8h|/5s6s6c:230,-230(230.000000)
234:Player,BR:0cc/cr876f:4sJs,3c5h|/2s3d6c:-100,100(-100.000000)
