In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
213:Player,BR:0cr600f:JsQc,7d9s|:100,-100(100.000000)
214:BR,Player:0cc/cr130c/cr299f:4s4d,8c9s|/6hTcKs/7s:-230,230(-230.000000)
215:Player,BR:0cc/cc/cc/r300c:2h7h,7dJh|/ThJdKs/3d/4c:-400,400(-0.358118)
216:BR,Player:0r130c/cc/cr299c/cr687c:7hKd,3h5h|/7c8s8h/Qs/6s:1216,-1216(200.339361)
217:Player,BR:0cc/cc/r200f:5dTs,2h9d|/3d7c8s/6s:100,-100(100.000000)
218:BR,Player:0f:QsAc,2s4c|:50,-50(50.000000)
219:Player,BR:0cr600f:KsKc,4c5s|:100,-100(100.000000)
220:BR,Player:0cc/cc/cc/cr130f:9hJd,7c8d|/5h6cQh/5s/8h:-100,100(-100.000000)
221:Player,BR:0cr130c/r1380f:AsAc,7cQs|/4s6hJc:230,-230(230.000000)
222:BR,Player:0f:5dJh,2d5c|:50,-50(50.000000)
223:Player,BR:0cr300c/cc/cc/r800c:8h9s,7h7c|/4s8dKh/Ks/2d:1200,-1200(-429.604112)
224:BR,Player:0r130c/cr690c/cc/cc:3cJs,8sTh|/6s6d7h/7s/5d:920,-920(904.635298)
225:Player,BR:0cc/cc/cc/cc:2s5c,7cQh|/6h8c9h/Qs/5s:-100,100(-91.794510)
226:BR,Player:0f:5dTc,3c9s|:50,-50(50.000000)
227:Player,BR:0cc/cc/r130c/r299f:4cQh,6h7s|/8dTsJd/9c/5c:230,-230(230.000000)
228:BR,Player:0cc/cc/cc/cr200c:7sKc,ThQs|/5h5dTd/4c/2d:-300,300(-84.578141)
229:Player,BR:0cr300f:5cJc,3h9d|:100,-100(100.000000)
230:BR,Player:0cc/cr130c/cc/cc:2c5c,4d9c|/JcKhKc/8c/7s:230,-230(230.000000)
231:Player,BR:0cc/cc/cc/cc:6hTc,4h4c|/QhQcAd/Ks/8d:-100,100(-70.188717)
232:BR,Player:0cc/cr130c/cc/cc:8hTd,7cJh|/4h6hAs/4d/Ac:-230,230(-47.577715)
233:Player,BR:0cc/cc/cc/cc:4cAd,TcKc|/5h6dKh/Qc/6c:-100,100(-70.018258)
234:BR,Player:0cc/cr200c/cr390c/cc:8dAh,4hJh|/5c8sJs/3h/3s:-690,690(-330.930153)
235:Player,BR:0cr300c/cc/r200c/cc:3s3d,5sJh|/8s9d9c/5h/Qc:-600,600(-224.932983)
236:BR,Player:0r130c/cc/cr115c/cc:4h6d,6c9s|/9hKhAs/Kc/3d:-345,345(-345.000000)
237:Player,BR:0cc/cc/r300f:3sQc,8cAd|/5s7dQh/9s:100,-100(100.000000)
238:BR,Player:0r130c/cc/cr460c/cr2070c:6s6d,4cTc|/JdQdAs/5d/6h:2760,-2760(2760.000000)
239:Player,BR:0cr300c/cc/cc/cc:6dKd,TcKh|/7h8hJd/7c/4c:-400,400(281.790501)
