In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
161:BR,Player:0r130c/cr299c/r8102r11369c/cc:6h8s,7s8d|/2c7c8h/3h/4h:-20000,20000(-414.030931)
162:Player,BR:0cr300c/cc/r200r9189f:7hAh,2dTh|/4c7cTs/5d:-600,600(-600.000000)
163:BR,Player:0r200c/cc/r427c/r14725f:2c4s,4d6s|/5h6hAd/8d/9s:727,-727(727.000000)
164:Player,BR:0cc/cc/cr876f:2h8c,4cAd|/7sJcKh/9d:-100,100(-100.000000)
165:BR,Player:0r130c/cr299c/r2303r5684f:4h6h,3hJc|/2h3d3c/8s:-2832,2832(-2832.000000)
166:Player,BR:0cc/cc/cr216f:6cTh,5hKs|/4hAsAh/Kd:-100,100(-100.000000)
167:BR,Player:0r200c/cr600c/r7881f:9sJd,6dTd|/2c4dTh/3s:900,-900(900.000000)
168:Player,BR:0cc/cc/r200r4595f:2c6h,2sQs|/3cQhQc/2d:-300,300(-300.000000)
169:BR,Player:0r130c/cr299c/r8102f:9hTc,5c7s|/9cThKc/Ad:529,-529(529.000000)
170:Player,BR:0cr300c/r800c/r600r4480f:TcKh,3d9s|/7cJsKs/Td:-1800,1800(-1800.000000)
171:BR,Player:0cc/cc/r3080f:4cQc,5sKs|/6c8h9d/Td:100,-100(100.000000)
172:Player,BR:0cr300c/cc/r1200f:QhAh,3s6d|/4c8hAc/Th:400,-400(400.000000)
173:BR,Player:0r130c/cc/r7085f:3cJd,JcKs|/4s5c8c/3d:230,-230(230.000000)
174:Player,BR:0cc/cc/cr435c/cr3542f:5hJc,2s4s|/5s7cTh/9h/Ks:-535,535(-535.000000)
175:BR,Player:0r200c/cc/r4595f:7sKs,9hAc|/4dTcQc/7d:300,-300(300.000000)
176:Player,BR:0cc/cc/r200r371c/cr10276f:8sJh,AhAd|/3d5dJc/6s/Qd:-671,671(-671.000000)
177:BR,Player:0r130c/cc/r7085f:4cTc,6sKd|/5h7hKc/8s:230,-230(230.000000)
178:Player,BR:0cc/cc/r130r871f:3d4h,QhKs|/2d4cKd/Ts:-230,230(-230.000000)
179:BR,Player:0cc/cr130c/r1001f:QhAs,4s8h|/2s5sKc/9c:230,-230(230.000000)
180:Player,BR:0cc/cc/cr124f:4h9s,5hAc|/2s6hKd/Kh:-100,100(-100.000000)
181:BR,Player:0f:2c4d,3s7d|:50,-50(50.000000)
182:Player,BR:0cc/cc/cc/cr142f:2h5s,7sQs|/6dJhKs/Kc/8d:-100,100(-100.000000)
183:BR,Player:0r130c/cc/r871c/r8383f:TcQd,4c8c|/4d5hTh/6d/Ks:1101,-1101(1101.000000)
184:Player,BR:0cc/cc/r200r9241f:9sJh,2c6d|/5s6s7c/5h:-300,300(-300.000000)
185:BR,Player:0r200c/cc/r649c/r3593c:2hKc,7dAd|/TsThKs/3h/3c:4542,-4542(1218.222243)
186:Player,BR:0cc/cc/cr8194f:5dTs,ThJc|/6cJdAd/Qc:-100,100(-100.000000)
187:BR,Player:0cc/cc/r9423f:8s9s,8cQd|/2dJhAs/7d:100,-100(100.000000)
188:Player,BR:0cr300c/r520c/r1840r6870r10370f:2h2d,7c9d|/2cTsAd/5c:9630,-9630(9630.000000)
189:BR,Player:0r200c/cr390c/r100c/r19210f:6c8c,3h6d|/3c8sQh/7h/2c:790,-790(790.000000)
190:Player,BR:0cr200c/r390c/cr243f:4d8h,3hTd|/KhAsAh/Ks:-690,690(-690.000000)
