In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 5.
1:BR,Player:0f:3h6c,3dTh|:50,-50(50.000000)
197:BR,Player:0r130c/cc/cr460c/cr897c:9cAh,TsAs|/8sKhKc/Ac/8h:-1587,1587(-589.842392)
198:Player,BR:0cc/cc/cc/r130c:3cTh,6dAd|/8hTdKd/5d/Qc:-230,230(-230.000000)
199:BR,Player:0r130c/cc/cc/cc:3s3d,6dAd|/4s8dKh/Th/Ks:230,-230(140.122689)
200:Player,BR:0cr300c/cc/r200c/cc:5dJh,3cKd|/4c8sQs/Th/2c:-600,600(477.156880)
201:BR,Player:0r130c/cr460c/cc/cc:7sAd,5dQd|/3c5hAh/Jh/4d:690,-690(292.276538)
202:Player,BR:0cr300c/r520c/cc/cc:9sQh,3dJd|/3c4s7h/3s/Ac:-920,920(-890.511942)
203:BR,Player:0r130c/cr299c/cc/cr687f:3s8s,6hAc|/8d9hJs/As/Ad:-529,529(-529.000000)
204:Player,BR:0cc/cc/r130f:3d7c,6d7d|/2c4dJc/5c:100,-100(100.000000)
205:BR,Player:0cc/cc/cr130f:3dQd,4dTc|/4s5hJh/4c:-100,100(-100.000000)
206:Player,BR:0cr300c/cc/cc/r200c:JdKc,9dKs|/JcQsAs/8c/6c:600,-600(343.258410)
207:BR,Player:0cc/cr130c/cc/cc:6h7h,2cQd|/8c9dTd/4s/3c:230,-230(230.000000)
208:Player,BR:0cr200c/cc/cc/r150c:7dAs,5hKh|/4s5d8d/9d/6h:450,-450(226.470132)
209:BR,Player:0r130c/cc/cr460c/cc:KhAc,4dKc|/6h7sTd/Js/6d:690,-690(129.569356)
210:Player,BR:0cc/cc/cc/cc:JhKc,2hKs|/2d6h8c/Qs/6d:-100,100(-49.073395)
211:BR,Player:0r130c/cc/cc/cr460f:8h9h,9sKs|/3s5c7h/7d/4s:-230,230(-230.000000)
212:Player,BR:0cc/cc/r200c/r150c:4d5s,5h9s|/3sQcKs/As/7s:-450,450(-401.632444)
213:BR,Player:0r130c/cc/cr690f:3dQc,5cJh|/2d4hJc/8s:-230,230(-230.000000)
214:Player,BR:0cr300f:JsQh,3d7h|:100,-100(100.000000)
215:BR,Player:0r130c/cr299c/cc/cr687c:2dKh,QsQd|/5c7c9h/5h/Th:-1216,1216(456.548396)
216:Player,BR:0cc/cc/cc/cc:2s5h,3c4d|/4cJsAc/5c/Jc:-100,100(-69.324311)
217:BR,Player:0r130c/cc/cc/cc:2s8d,9cTd|/4s6sAd/Ts/Kd:-230,230(-230.000000)
218:Player,BR:0cc/cc/cc/r200f:4cTh,3s4h|/7h9cJs/8h/5d:100,-100(100.000000)
219:BR,Player:0f:8cJs,3s8h|:50,-50(50.000000)
220:Player,BR:0cr300c/r520c/cc/cc:2d2c,6hQh|/4d6dAh/Tc/Kd:-920,920(-263.414656)
221:BR,Player:0r130c/cr299c/cr1058f:7sTd,6cJs|/4dThQs/9h:-529,529(-529.000000)
222:Player,BR:0cc/cc/cc/r130c:2s7s,4d8d|/3d4hJd/Jc/Kh:-230,230(-84.072935)
223:BR,Player:0cc/cc/cr130c/cc:QhQc,3dTc|/3h6sJh/6h/9c:230,-230(230.000000)
224:Player,BR:0cc/cc/r200f:3sTs,5sAc|/6s9sTh/2h:100,-100(100.000000)
225:BR,Player:0f:5sAs,2h4c|:50,-50(50.000000)
226:Player,BR:0cr200c/cc/cc/cc:JsAd,4sQd|/6d8c9d/Td/Kh:300,-300(300.000000)
227:BR,Player:0r200c/cc/cc/cc:QcKh,JsQs|/2s3c8d/3h/7h:300,-300(78.308693)
228:Player,BR:0cc/cc/cc/cc:6hKd,3sKs|/2d3hTh/7h/9d:-100,100(-79.640810)
229:BR,Player:0r130c/cc/cc/cr299c:5c6h,7hJd|/2h9s9c/Kh/2s:0,-0(-118.947532)
230:Player,BR:0cc/cc/cc/cc:JdQc,TcAd|/3s4s4d/Td/9s:-100,100(-86.483470)
231:BR,Player:0r300c/cc/cc/cr520f:6h6c,4dAs|/JhQhKs/4c/4h:-400,400(-400.000000)
232:Player,BR:0cc/cc/r130c/r460c:9hKd,6hJh|/6cQhKh/7s/Qs:690,-690(19.648874)
233:BR,Player:0r130c/cr299c/cc/cc:ThJd,2cAc|/2h4hJh/Js/7c:529,-529(529.000000)
234:Player,BR:0cc/cc/cc/cc:3hQs,2h4h|/2s8sTh/9c/As:-100,100(-17.894257)
