In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
96:Player,BR:0cc/cr435f:9dQh,9hJc|/2c4hKs:-100,100(-100.000000)
97:BR,Player:0r200c/r1136f:4h6h,5sJc|/3d4d5c:300,-300(300.000000)
98:Player,BR:0cr300c/cr3503f:7s9c,9sKd|/2sTdQc:-400,400(-400.000000)
99:BR,Player:0r200c/r5284f:3h9d,6sKs|/4sTdAh:300,-300(300.000000)
100:Player,BR:0cc/cr435f:5cTd,7sJs|/9dJhQs:-100,100(-100.000000)
101:BR,Player:0r130c/cc/cc/cc:5hQd,TsQh|/6hKsAc/6d/3h:0,-0(-5.533207)
102:Player,BR:0cc/cr435f:7sQc,8hKh|/4h4c9c:-100,100(-100.000000)
103:BR,Player:0f:KhAd,2s8c|:50,-50(50.000000)
104:Player,BR:0cr300c/cr1741c/cc/cc:QsQd,4hQh|/3h6h9d/7d/5d:-2141,2141(-708.156412)
105:BR,Player:0cc/r124r376r376f:3sAc,2sQd|/6s7h7d:600,-600(600.000000)
106:Player,BR:0cc/cr435f:8dQs,2dTs|/3d4sJd:-100,100(-100.000000)
107:BR,Player:0cc/r1532c/cr1358c/cr17010f:JcKd,2dAc|/2cAsAh/4c/Ks:-2990,2990(-2990.000000)
108:Player,BR:0cr200c/cr1306f:8cAs,6s8d|/5s5dKd:-300,300(-300.000000)
109:BR,Player:0f:QcAd,3d8s|:50,-50(50.000000)
110:Player,BR:0cc/cr216f:5dAc,8cAd|/7h8dJs:-100,100(-100.000000)
111:BR,Player:0r130c/r871c/cr1015c/cr6348f:QdKd,3s9s|/3h4cKh/3c/8s:-2116,2116(-2116.000000)
112:Player,BR:0cc/cr124f:3dTs,6c8s|/5h8dJs:-100,100(-100.000000)
