In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
123:BR,Player:0r130c/cr460f:3hTc,6cKc|/7cJdQd:-230,230(-230.000000)
124:Player,BR:0cc/cc/r130f:3cKc,3s5h|/8d9cQc/6d:100,-100(100.000000)
125:BR,Player:0f:2c4s,2d8c|:50,-50(50.000000)
126:Player,BR:0cc/cc/cc/cc:2dTc,5s5d|/6hJdAs/Ah/Kd:-100,100(-56.847293)
127:BR,Player:0r200c/cc/cc/cr390f:9dJc,6cTh|/4d8hAd/7h/Kc:-300,300(-300.000000)
128:Player,BR:0cr300c/cc/cc/cc:3h3c,4h4d|/4c7hAc/Ad/Jd:-400,400(-394.098773)
129:BR,Player:0f:3c5c,2h8d|:50,-50(50.000000)
130:Player,BR:0cc/cc/cc/r200c:2d6c,9hJs|/4c7h9s/7s/Ah:-300,300(-41.113952)
131:BR,Player:0r200c/cc/cc/cc:2dKs,8h8c|/4s6sQs/3s/4c:300,-300(300.000000)
132:Player,BR:0cc/cc/cc/cc:2sTc,4s9s|/4h7dAc/3s/Qs:-100,100(-47.264645)
133:BR,Player:0r130c/cr460f:7h8h,6cKc|/6h6dAs:-230,230(-230.000000)
134:Player,BR:0cr200c/cc/r390f:4s4c,5sQh|/3h7cKs/2s:300,-300(300.000000)
135:BR,Player:0r130c/cr299f:2hTh,2d3d|/5s8dAs:-230,230(-230.000000)
136:Player,BR:0cc/cc/r130c/r299c:4sKc,3h6h|/3sTsKd/8s/3c:-529,529(-500.872089)
137:BR,Player:0r130c/cr299f:7h8d,5hKd|/2d6sJh:-230,230(-230.000000)
138:Player,BR:0cc/cc/cc/r130f:4hQd,9sTs|/2hQhKd/7h/6d:100,-100(100.000000)
139:BR,Player:0cc/cc/cc/cc:3cTh,3dJh|/5c9cAs/5s/6d:-100,100(-100.000000)
140:Player,BR:0cc/cc/cc/r130c:4s6c,4dKh|/6s9sKs/3s/8s:230,-230(37.887097)
141:BR,Player:0r130c/cc/cr460f:6c9d,9cAc|/2s5c8s/Ah:-230,230(-230.000000)
142:Player,BR:0cc/cc/cc/cc:8dKh,2hTs|/4d7h9h/Qc/4c:100,-100(72.955228)
143:BR,Player:0r130c/cr299f:2s4h,JdQs|/6sQhQc:-230,230(-230.000000)
144:Player,BR:0cc/cc/r130c/r115f:2hJs,8hAc|/3s5sJd/Qs/3c:230,-230(230.000000)
145:BR,Player:0r200c/cr390c/cc/cr1380c:TsQc,7cTc|/9dJcQh/7d/Kc:0,-0(1526.046493)
146:Player,BR:0cr200c/cc/cc/cc:3s3d,4hKc|/9dQcAs/Ts/5d:300,-300(246.208317)
147:BR,Player:0cc/cc/cc/cc:JcQs,JhKc|/2h8dTc/3c/Ts:-100,100(-79.646180)
148:Player,BR:0cc/cc/r200c/r390c:9hKs,2dKh|/9dTcAd/Kc/6d:690,-690(-497.108807)
149:BR,Player:0r300c/cr800c/cc/cr1560f:8hQh,5hQc|/2h4dTh/Tc/5c:-1200,1200(-1200.000000)
150:Player,BR:0cc/cc/cc/cc:6sJh,4c7h|/6h9cTc/7s/7d:-100,100(-83.703013)
151:BR,Player:0cc/cc/cc/cr130c:6hKc,2hJs|/5cJdKd/5s/Ad:230,-230(168.690478)
152:Player,BR:0cc/cc/cc/cc:3s4d,8h9d|/7hQsKd/7d/Jh:0,-0(48.343050)
153:BR,Player:0r130c/cc/cr115c/cc:4c6c,2hAc|/5dTdAd/6s/Ks:-345,345(-6.196833)
154:Player,BR:0cc/cc/cc/cc:2sAc,7c9s|/5dJhQh/Qc/4s:100,-100(55.223858)
155:BR,Player:0r130c/cr299c/cr1058c/cc:8hAc,8dTh|/3c4c9h/Ts/2s:-1587,1587(-286.512964)
156:Player,BR:0cc/cc/r130c/r115c:4d9d,7cTd|/2d3h3d/3c/Qd:345,-345(122.617874)
157:BR,Player:0r200c/cr390c/cr1380f:QcAh,2h9h|/6c9dKs/2d:-690,690(-690.000000)
158:Player,BR:0cc/cc/cc/cc:6s9h,3h6c|/8d9dJd/3d/6h:100,-100(-43.531086)
159:BR,Player:0r130c/cr460f:4cJs,3d4d|/2h6d9s:-230,230(-230.000000)
160:Player,BR:0cc/cc/cc/r130c:7dTh,5hJd|/4s7hKc/Ah/8s:230,-230(74.841343)
161:BR,Player:0r130c/cr460c/cc/cc:2cQh,3s4c|/5c8hKc/Kh/3h:-690,690(313.362289)
162:Player,BR:0cc/cc/cc/r130c:3d9s,TdAh|/5d6dJd/4d/4c:-230,230(-164.335758)
163:BR,Player:0r130c/cc/cc/cc:6c9d,9sKd|/TcJsAs/8c/5d:-230,230(-230.000000)
164:Player,BR:0cr200c/cc/cc/r600c:7h8d,JsJh|/ThJcQc/5s/Ah:-900,900(-900.000000)
165:BR,Player:0r130c/cc/cc/cr299f:5d6c,8cJd|/3cTsKs/Jh/5h:-230,230(-230.000000)
166:Player,BR:0cr200f:7sKh,2d6h|:100,-100(100.000000)
