In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
141:BR,Player:0r200c/cc/cc/cc:4cTd,KcAc|/3c6sJh/9d/8s:-300,300(-300.000000)
142:Player,BR:0cc/cc/cc/cc:2h3c,3d8s|/9sQdKs/Jd/Jc:0,-0(58.495629)
143:BR,Player:0f:2hAd,2d3s|:50,-50(50.000000)
144:Player,BR:0cc/cc/cc/r300f:3dJs,2sTs|/6c8hAs/9h/5h:100,-100(100.000000)
145:BR,Player:0r200c/cr390c/cr897c/cc:3s3h,6hKd|/2s2dJc/9d/6s:-1587,1587(481.789450)
146:Player,BR:0cc/cc/cc/cc:3cJd,ThAd|/7sQdKh/2s/9s:-100,100(-5.195619)
147:BR,Player:0r130c/cc/cc/cr299f:7cTc,8h9h|/3d8sJd/As/Js:-230,230(-230.000000)
148:Player,BR:0cc/cc/cc/cc:7cQd,2s9s|/4h8h8d/5d/Kd:100,-100(95.769574)
149:BR,Player:0r130c/cc/cr299c/cr1587f:9cAd,2d8d|/3h8cQd/8s/9d:-529,529(-529.000000)
150:Player,BR:0cr600c/cc/cc/cc:9d9c,8hQc|/8dTcAh/4s/Jc:700,-700(-575.702312)
151:BR,Player:0cc/cc/cr130f:7sQh,5h7c|/5d5c9s/Td:-100,100(-100.000000)
152:Player,BR:0cc/cc/cc/cc:3c6h,2h4c|/3s7cQh/Jc/5s:100,-100(100.000000)
153:BR,Player:0f:6hAs,3s7c|:50,-50(50.000000)
154:Player,BR:0cc/cc/cc/cc:2h6c,9sAh|/4s9cAs/Kh/9h:-100,100(-99.996495)
155:BR,Player:0r200c/cr600f:3sTh,3h4h|/6d9dQc:-300,300(-300.000000)
156:Player,BR:0cc/cc/cc/cc:2cKc,6dJd|/6cJcAd/5d/Qh:-100,100(-93.036528)
157:BR,Player:0r130c/cc/cc/cr299f:4cJd,5d9c|/9dThQc/2d/3s:-230,230(-230.000000)
158:Player,BR:0cr200c/r600c/cc/r1170c:2s2h,9dQh|/4h7hJd/Td/Qd:-2070,2070(-1773.069019)
159:BR,Player:0r200c/cc/cr150c/cr1350f:7cKs,4s6d|/6hJhAh/Jd/As:-450,450(-450.000000)
160:Player,BR:0cr600c/r910f:KsKh,9hQd|/6c7cJs:700,-700(700.000000)
161:BR,Player:0r200c/cr390c/cr1380c/cr2691f:6h8s,7s8d|/2c7c8h/3h/4h:-2070,2070(-2070.000000)
162:Player,BR:0cr130c/r299c/r105c/r824c:7hAh,2dTh|/4c7cTs/5d/2c:-1458,1458(-1409.805205)
163:BR,Player:0r130c/cc/cc/cc:2c4s,4d6s|/5h6hAd/8d/9s:-230,230(-230.000000)
164:Player,BR:0cc/cc/cc/cc:2h8c,4cAd|/7sJcKh/9d/9h:-100,100(-4.648423)
165:BR,Player:0cc/cr130c/cr460f:4h6h,3hJc|/2h3d3c/8s:-230,230(-230.000000)
166:Player,BR:0cc/cc/r130c/cc:6cTh,5hKs|/4hAsAh/Kd/4s:-230,230(-169.540707)
167:BR,Player:0cc/cr130c/cr460c/cc:9sJd,6dTd|/2c4dTh/3s/Kc:-690,690(-111.351348)
168:Player,BR:0cc/cc/r130c/cc:2c6h,2sQs|/3cQhQc/2d/Th:-230,230(-227.994272)
169:BR,Player:0r130c/cr299c/cc/cc:9hTc,5c7s|/9cThKc/Ad/Qc:529,-529(529.000000)
170:Player,BR:0cr200c/r600f:TcKh,3d9s|/7cJsKs:300,-300(300.000000)
171:BR,Player:0cc/cc/cc/cc:4cQc,5sKs|/6c8h9d/Td/3s:-100,100(-100.000000)
172:Player,BR:0cr130c/cc/r690f:QhAh,3s6d|/4c8hAc/Th:230,-230(230.000000)
173:BR,Player:0r200c/cc/cc/cr390c:3cJd,JcKs|/4s5c8c/3d/6h:690,-690(208.267575)
174:Player,BR:0cc/cc/cc/cc:5hJc,2s4s|/5s7cTh/9h/Ks:100,-100(95.684986)
175:BR,Player:0r200c/cc/cc/cc:7sKs,9hAc|/4dTcQc/7d/2s:300,-300(300.000000)
176:Player,BR:0cr600c/cc/cc/r910c:8sJh,AhAd|/3d5dJc/6s/Qd:-1610,1610(-1534.197818)
177:BR,Player:0r130c/cc/cr299f:4cTc,6sKd|/5h7hKc/8s:-230,230(-230.000000)
178:Player,BR:0cc/cc/cc/cc:3d4h,QhKs|/2d4cKd/Ts/6c:-100,100(-88.328129)
179:BR,Player:0cc/cr200c/cc/cc:QhAs,4s8h|/2s5sKc/9c/8d:-300,300(-89.943025)
180:Player,BR:0cc/cc/cc/r130c:4h9s,5hAc|/2s6hKd/Kh/2d:-230,230(-48.525750)
181:BR,Player:0f:2c4d,3s7d|:50,-50(50.000000)
182:Player,BR:0cc/cc/cc/cc:2h5s,7sQs|/6dJhKs/Kc/8d:-100,100(14.385554)
183:BR,Player:0r200c/cc/cc/cc:TcQd,4c8c|/4d5hTh/6d/Ks:300,-300(300.000000)
184:Player,BR:0cc/cc/cc/r300f:9sJh,2c6d|/5s6s7c/5h/8c:100,-100(100.000000)
185:BR,Player:0r130c/cc/cc/cc:2hKc,7dAd|/TsThKs/3h/3c:230,-230(230.000000)
186:Player,BR:0cc/cc/r600c/cc:5dTs,ThJc|/6cJdAd/Qc/4d:-700,700(-700.000000)
187:BR,Player:0r130c/cc/cc/cc:8s9s,8cQd|/2dJhAs/7d/Jc:-230,230(-230.000000)
188:Player,BR:0cr300c/r520c/r2760f:2h2d,7c9d|/2cTsAd/5c:920,-920(920.000000)
189:BR,Player:0cc/cc/cc/cr130c:6c8c,3h6d|/3c8sQh/7h/2c:230,-230(160.064285)
190:Player,BR:0cc/cc/cc/cc:4d8h,3hTd|/KhAsAh/Ks/Qh:0,-0(4.603084)
191:BR,Player:0r200c/cr1800c/cr4200c/cc:6h8s,QdAd|/6sThAc/8h/Jc:6300,-6300(6084.234620)
192:Player,BR:0cc/cc/cc/cc:3sJc,8d9s|/6c9cQh/Qd/2h:-100,100(-85.848226)
193:BR,Player:0r200c/cr900c/cc/cc:5dQh,JdQc|/4s8d9c/Ah/As:-1200,1200(-108.011739)
194:Player,BR:0cc/cc/cc/r130c:TcAd,7hAc|/TsQhKd/3d/Jh:0,-0(-161.193118)
195:BR,Player:0f:7h9d,2s6h|:50,-50(50.000000)
196:Player,BR:0cr200f:4h6s,2d5c|:100,-100(100.000000)
197:BR,Player:0f:3c7c,2d5s|:50,-50(50.000000)
198:Player,BR:0cc/cc/r130c/cc:4hQc,6cJs|/2s7dJc/6s/8d:-230,230(-217.497928)
199:BR,Player:0cc/cr130f:4s7s,9sTc|/3sThAd:-100,100(-100.000000)
200:Player,BR:0cr300c/r520c/cc/cc:3d8d,5sQc|/4c7cKc/Ah/Js:-920,920(-654.432554)
201:BR,Player:0r130c/cc/cc/cr299c:AhAc,6d8d|/JhJcQc/Kc/4h:529,-529(522.020392)
202:Player,BR:0cc/cc/cc/cc:9dTc,5cJh|/4s4cAd/Qd/8c:-100,100(16.324672)
203:BR,Player:0r130c/cr299c/cc/cr687f:4h9c,6hQh|/6dTsTc/5h/6s:-529,529(-529.000000)
204:Player,BR:0cc/cc/cc/cc:6h8s,6dAs|/QsQcAc/3c/Kh:-100,100(-92.526864)
205:BR,Player:0cc/cr200c/cc/cc:2sKc,4dTc|/2h7d9c/Jc/6c:300,-300(132.813581)
206:Player,BR:0cc/cc/cc/r130c:4cKd,3dAc|/7h8dTc/3h/4d:230,-230(86.801410)
207:BR,Player:0r200c/cc/cr390f:4d9c,ThQc|/2cJcKs/5d:-300,300(-300.000000)
208:Player,BR:0cr130c/r299f:3c5c,6sQd|/4c7dJd:230,-230(230.000000)
209:BR,Player:0r130c/cr299c/cr264c/cr2379c:7cTh,3cTc|/5hJcQs/7s/2h:3172,-3172(3172.000000)
210:Player,BR:0cc/cc/cc/cc:6dJh,6hJd|/2d4h5c/7d/7c:0,-0(91.436754)
211:BR,Player:0r130c/cr299c/cr687c/cr3648f:6sAd,4s9s|/2h3h4c/9c/7s:-1216,1216(-1216.000000)
212:Player,BR:0cc/cc/cc/r200c:4sJs,2hAc|/3d5cKc/5h/4c:-300,300(-289.474195)
213:BR,Player:0r200c/cc/cr150f:JsQc,7d9s|/5s7cTs/8d:-300,300(-300.000000)
214:Player,BR:0cr300c/cc/cc/cc:4s4d,8c9s|/6hTcKs/7s/Ts:-400,400(-358.656764)
215:BR,Player:0r130c/cc/cc/cr299f:2h7h,7dJh|/ThJdKs/3d/4c:-230,230(-230.000000)
216:Player,BR:0cr200c/cc/cc/r390f:7hKd,3h5h|/7c8s8h/Qs/6s:300,-300(300.000000)
217:BR,Player:0f:5dTs,2h9d|:50,-50(50.000000)
218:Player,BR:0cr130c/cc/r115c/cc:QsAc,2s4c|/5c8dTc/3s/Jd:345,-345(345.000000)
219:BR,Player:0r130c/cc/cc/cc:KsKc,4c5s|/7dThAd/8c/4s:230,-230(230.000000)
220:Player,BR:0cc/cc/cc/cc:9hJd,7c8d|/5h6cQh/5s/8h:-100,100(-77.682583)
221:BR,Player:0r200c/cr390c/cr897c/cr3174c:AsAc,7cQs|/4s6hJc/3h/8h:4761,-4761(-421.792363)
222:Player,BR:0cc/cc/r130f:5dJh,2d5c|/ThQsKs/Ah:100,-100(100.000000)
223:BR,Player:0r130c/cc/cr299c/cc:8h9s,7h7c|/4s8dKh/Ks/2d:529,-529(529.000000)
224:Player,BR:0cc/cc/r130c/cc:3cJs,8sTh|/6s6d7h/7s/5d:230,-230(147.278584)
225:BR,Player:0r130c/cr299f:2s5c,7cQh|/6h8c9h:-230,230(-230.000000)
226:Player,BR:0cc/cc/cc/cc:5dTc,3c9s|/2c4hQc/Qh/Kc:100,-100(71.485351)
227:BR,Player:0cc/cr130c/cc/cr299c:4cQh,6h7s|/8dTsJd/9c/5c:529,-529(529.000000)
228:Player,BR:0cr300c/cc/r200c/cc:7sKc,ThQs|/5h5dTd/4c/2d:-600,600(-523.785349)
229:BR,Player:0f:5cJc,3h9d|:50,-50(50.000000)
230:Player,BR:0cc/cc/cc/cc:2c5c,4d9c|/JcKhKc/8c/7s:100,-100(67.397775)
231:BR,Player:0r130c/cr299c/cc/cc:6hTc,4h4c|/QhQcAd/Ks/8d:-529,529(-142.722474)
232:Player,BR:0cr300c/r520c/cc/cc:8hTd,7cJh|/4h6hAs/4d/Ac:-920,920(-152.556550)
233:BR,Player:0r130c/cc/cr460c/cc:4cAd,TcKc|/5h6dKh/Qc/6c:-690,690(-428.726620)
234:Player,BR:0cr300c/cc/r520c/r460c:8dAh,4hJh|/5c8sJs/3h/3s:-1380,1380(-1259.561516)
