In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
127:Player,BR:0cc/cc/cc/cc:3d4h,9cKs|/6h7c8h/2d/5h:-100,100(-97.964700)
128:BR,Player:0f:7hQs,3d7c|:50,-50(50.000000)
129:Player,BR:0cc/cc/cc/r130f:9hJd,2hKd|/3c6c7h/2c/6d:100,-100(100.000000)
130:BR,Player:0r130c/cr299f:3s5c,4d7h|/2s6sQc:-230,230(-230.000000)
131:Player,BR:0cc/cc/r130c/r299f:9hTd,2s3c|/2d6s9d/5c/Kh:230,-230(230.000000)
132:BR,Player:0cc/cc/cc/cc:6dAc,6sJs|/6h7cTs/9c/9s:100,-100(100.000000)
133:Player,BR:0cc/cc/cc/cc:7cTd,5dKh|/7d8dJd/2c/Kc:-100,100(-71.319564)
134:BR,Player:0f:QdKd,4s9c|:50,-50(50.000000)
135:Player,BR:0cr300c/cc/cc/cc:8hQh,3hKh|/3d4c9s/5h/Ac:-400,400(-55.020616)
136:BR,Player:0r130c/cc/cc/cr299c:9dAc,QcAd|/3h6c9h/6s/5h:529,-529(501.348649)
137:Player,BR:0cr600f:JhAd,3h7d|:100,-100(100.000000)
138:BR,Player:0cc/cc/cr130c/cr1380f:JsJh,4h9d|/4c9sQc/8d/9h:-230,230(-230.000000)
139:Player,BR:0cc/cc/cc/r130c:7c9s,7h8s|/5h7sJc/Kh/2s:230,-230(-7.096544)
140:BR,Player:0r130c/cr299c/cc/cc:4c5h,ThJc|/3h4sQh/2c/Qd:529,-529(529.000000)
141:Player,BR:0cr300f:5sQh,5d8h|:100,-100(100.000000)
142:BR,Player:0r130c/cc/cc/cr460f:7sQc,6s7c|/3h4hAc/4d/Ts:-230,230(-230.000000)
143:Player,BR:0cr300c/cc/cc/r200f:8d9c,2sJs|/2h9dAc/6h/3c:400,-400(400.000000)
144:BR,Player:0r130c/cc/cc/cr299c:JsJh,9dQd|/5cTcAs/6h/2c:529,-529(328.535530)
145:Player,BR:0cr300c/cc/r520c/r184f:QdKc,6hQc|/3sKdAc/Jd/6s:920,-920(920.000000)
146:BR,Player:0r200c/cc/cr150c/cc:3d6d,ThAs|/4dTdKc/2c/Jc:-450,450(-450.000000)
147:Player,BR:0cc/cc/cc/cc:2c8h,3dTh|/7hKdAd/9h/Qd:-100,100(47.364422)
148:BR,Player:0r130c/cc/cc/cr299f:5dTd,6dAs|/6cQhKs/8d/Ah:-230,230(-230.000000)
149:Player,BR:0cr300f:4d7s,2s7c|:100,-100(100.000000)
150:BR,Player:0r130c/cc/cc/cr299f:2s2d,4hQd|/6h7sQh/8h/Ac:-230,230(-230.000000)
151:Player,BR:0cr300c/cc/r200c/cc:8dAs,7sTh|/5d6s6h/3d/Kh:600,-600(583.620650)
152:BR,Player:0r130c/cc/cc/cr690c:2hQc,9cTd|/6d9dAc/Jh/Th:-920,920(327.341723)
153:Player,BR:0cc/cc/cc/cc:6dQs,JdQc|/4cJcKh/5h/7d:-100,100(-89.740388)
154:BR,Player:0r200c/cc/cc/cc:5cKh,8hQc|/2d5sAd/Ts/Ks:300,-300(300.000000)
155:Player,BR:0cr600f:2hJh,2d8c|:100,-100(100.000000)
156:BR,Player:0cc/cc/cc/cc:3s8s,3dJc|/ThTcKh/4s/8h:100,-100(100.000000)
157:Player,BR:0cr300c/cc/r800c/r1560c:7hJh,TsAc|/2d3s8c/Ad/8s:-2760,2760(-2398.585104)
158:BR,Player:0r130c/cr460c/cc/cc:5d6h,8cKs|/4s6c8d/7s/2c:690,-690(690.000000)
159:Player,BR:0cr200c/r390c/r897c/r2063c:ThKd,5dQs|/5h9hQc/Qd/Ks:-3650,3650(-3587.627053)
160:BR,Player:0cc/cr300c/cc/cr1200f:5hJd,8dTh|/3h5s9h/7d/Jc:-400,400(-400.000000)
161:Player,BR:0cc/cc/cc/cc:2d7c,4d5h|/2c4cTd/Qh/Kh:-100,100(-42.764880)
162:BR,Player:0f:7dAc,3h9s|:50,-50(50.000000)
163:Player,BR:0cr600f:QsAs,5sQc|:100,-100(100.000000)
164:BR,Player:0r300c/cr800c/cc/cc:5d5c,3sJh|/2h2c4d/8s/Kc:1200,-1200(990.083002)
165:Player,BR:0cc/cc/cc/r130c:5sKc,8cKd|/6s8s8d/6h/Ks:-230,230(-230.000000)
166:BR,Player:0cc/cc/cc/cr130f:6dKd,3sKs|/3h7sAh/8d/Ac:-100,100(-100.000000)
167:Player,BR:0cr130c/cc/r299f:JcQc,5s8c|/2s3c7c/Tc:230,-230(230.000000)
168:BR,Player:0f:9hJc,3h8c|:50,-50(50.000000)
169:Player,BR:0cr300c/cc/r200c/r120c:7s7h,6dTs|/2h9cTh/4h/Ad:-720,720(-150.756613)
170:BR,Player:0r130c/cc/cc/cr299c:QsKs,2cJc|/5d8sQd/2s/9d:529,-529(512.181213)
171:Player,BR:0cc/cc/cc/r300c:4h9c,8sKs|/5s6s8d/As/7h:-400,400(-400.000000)
172:BR,Player:0r200c/cc/cr390c/cc:5d9c,6h8h|/5s8sJc/2c/3s:-690,690(-204.325018)
173:Player,BR:0cc/cc/cc/cc:4d9d,7dAh|/2c5sKd/Th/2s:-100,100(-6.415803)
174:BR,Player:0r130c/cr299c/cc/cc:QsQh,5sAc|/7s9sKh/Jd/8h:529,-529(359.174573)
175:Player,BR:0cr300c/r520c/cc/cc:5dQd,8dKd|/4sTcAc/Ts/Ah:-920,920(-796.580670)
176:BR,Player:0f:9sTc,3cTd|:50,-50(50.000000)
177:Player,BR:0cr300c/cc/cc/cc:4hAh,5s9h|/7c9dQd/Qs/Jc:-400,400(-322.767493)
178:BR,Player:0r130c/cc/cc/cc:4hAd,4d4c|/5h7sJh/Ah/8c:230,-230(230.000000)
179:Player,BR:0cc/cc/cc/cc:7hQs,4s4d|/TsJcKh/Js/8h:-100,100(-18.442863)
180:BR,Player:0r200c/cr390c/cc/cr897f:6sTc,4cAs|/4s7h8h/Qs/Ad:-690,690(-690.000000)
181:Player,BR:0cc/cc/cc/cc:4sJc,3hTd|/5hQdQc/3c/6d:-100,100(-76.681691)
182:BR,Player:0r200c/cc/cr600f:6sQs,3hKh|/5s9dTs/4d:-300,300(-300.000000)
183:Player,BR:0cc/cc/cc/cc:TcAh,3h9c|/7c8dJh/4h/Jc:100,-100(89.217010)
184:BR,Player:0cc/cc/cc/cr200c:4s6h,2cTc|/6d7h9s/Ks/Jh:300,-300(172.176405)
