In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
181:Player,BR:0cc/cc/cc/cc:4dTc,2s8h|/9cThAh/9h/6h:-100,100(-78.424623)
182:BR,Player:0r130c/cc/cc/cc:5dQc,6hAc|/5s8s9h/4d/3h:230,-230(214.147633)
183:Player,BR:0cc/cc/cc/cc:4c7d,3sQs|/9h9cJd/Ac/5s:-100,100(-5.438540)
184:BR,Player:0r200c/cc/cr150c/cc:7dAs,QsAd|/3h8s8c/Jc/Kh:-450,450(-123.038935)
185:Player,BR:0cc/cc/cc/cc:6hKc,4s4d|/3d5sTc/Ah/9d:-100,100(-58.233666)
186:BR,Player:0f:8c9h,2c5h|:50,-50(50.000000)
187:Player,BR:0cc/cc/cc/r130c:2d5c,JcAc|/8hQsQd/Kc/Qc:-230,230(43.308545)
188:BR,Player:0cc/cc/cc/cc:6s7d,JsKs|/2c4c6c/3d/2d:100,-100(100.000000)
189:Player,BR:0cr600c/cc/cc/r140c:9hJc,8d8c|/4c9cAh/Qc/5d:840,-840(325.808813)
190:BR,Player:0r200f:2c7h,QdQc|:-100,100(-100.000000)
191:Player,BR:0cc/cc/r200f:4c8d,9dJs|/4h5d7c/5s:100,-100(100.000000)
192:BR,Player:0r130c/cc/cr115c/cr1035c:3sTs,4h5s|/5dTcKc/3d/4d:1380,-1380(553.841560)
193:Player,BR:0cc/cc/r130f:2d8s,3s5h|/6h7cTd/Qd:100,-100(100.000000)
194:BR,Player:0r130c/cr299f:2sJh,4hTs|/6s8sQc:-230,230(-230.000000)
195:Player,BR:0cc/cc/cc/r130c:3h4s,4c5d|/3c5hJs/Kh/Ks:-230,230(-62.100439)
196:BR,Player:0cc/cc/cc/cr300c:7dQs,7h8c|/JdQhKd/Ac/5h:400,-400(400.000000)
197:Player,BR:0cc/cc/cc/cc:4dKc,2sQs|/7d8sAd/9s/Qd:-100,100(-78.466193)
198:BR,Player:0cc/cc/cc/cc:JcQs,TdJs|/6d6cAs/3c/Ac:100,-100(59.088916)
199:Player,BR:0cc/cc/cc/cc:4sKd,8hQs|/7c8sJc/Js/As:-100,100(-86.850933)
200:BR,Player:0r130c/cr690f:2s6h,TsJh|/4d5cJs:-230,230(-230.000000)
201:Player,BR:0cr300c/cc/cc/r200f:6sKs,3dKh|/6h9dTc/Js/9h:400,-400(400.000000)
202:BR,Player:0r130c/cr299c/cr1587f:JhKs,6hJs|/2c4c9d/7h:-529,529(-529.000000)
203:Player,BR:0cc/cc/r200c/cc:9sTh,7s9d|/2s3dKd/2c/7d:-300,300(-284.385738)
204:BR,Player:0f:4cTc,2s6c|:50,-50(50.000000)
205:Player,BR:0cc/cc/cc/r130c:4cTc,JsKd|/5h7cQs/Kh/Ts:-230,230(-205.273542)
206:BR,Player:0r200c/cr390f:3c8c,4s6s|/5d7dKd:-300,300(-300.000000)
207:Player,BR:0cc/cc/cc/cc:7h8d,3cKh|/2sJdQh/Ac/2h:-100,100(-6.568073)
